Title,<bibl> Source ID,Publication date,Author,Title of Periodical,Name of Publisher,Volume (if applicable),Page(s),Place of publication,Entry proofed?,Image/page of scrapbook on which source appears,Link to source,Notes
Is the Sun Inhabited,owu0003,1857-06-20,,Life Illustrated,,,,New York,error,owu_cah.00030,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=12&sid=8e2c0a5d-982f-4a47-b908-ed860ebf17d9%40sdc-v-sessmgr04&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl28&ppId=divp6&twPV=null&xOff=0&yOff=0&zm=fit&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=60414716&db=h9k,"Same issue as ""Down to the year 1831"" and ""JRC Kenzer's Station"""
Down to the year 1831,owu0003,1857-06-20,,Life Illustrated,,,,New York,error,owu_cah.00031,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=22&sid=8e2c0a5d-982f-4a47-b908-ed860ebf17d9%40sdc-v-sessmgr04&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl1&ppId=divp2&twPV=null&xOff=0&yOff=0&zm=2&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=60414732&db=h9k,"Same issue as ""Is the Sun Inhabited?"" and ""JRC Kenzer's Station"""
J. R. C. Kenzer's Station,owu0003,1857-06-20,,Life Illustrated,,,,New York,error,owu_cah.00086,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=142&sid=8e2c0a5d-982f-4a47-b908-ed860ebf17d9%40sdc-v-sessmgr04&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl27&ppId=divp6&twPV=null&xOff=382&yOff=1871&zm=4&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=60414721&db=h9k,"Same issue as ""Is the Sun Inhabited?"" and ""Down to the year 1831"" Both this clipping and the clipping pasted on the bottom ""The first railway built in the United States"" are a single article."
Two hours later we were located (Egypt an Elephant Story - Jenny Lind - ...),owu0080,1857-07-15,,New York Times,,,2,New York,yes,owu_cah.00574-5,https://search-proquest-com.libproxy.unl.edu/hnpnewyorktimes/docview/95931650/83995181A5554DBFPQ/1?accountid=8116,
The Mutiny in India,owu0095,1857-07-19,,New York Herald,,,4,New York,yes,owu_cah.00663-4,https://chroniclingamerica.loc.gov/lccn/sn83030313/1857-07-19/ed-1/seq-4/,
Annexation in India,owu0092,1857-07-21,,New York Daily Times,,,4,New York,yes,owu_cah.00658,https://search-proquest-com.libproxy.unl.edu/docview/95936216/7797A213DD564C9CPQ/1?accountid=8116,
The Indian Empire,owu0093,1857-07-26,,New York Herald,,,4,New York,yes,owu_cah.00659-60,http://chroniclingamerica.loc.gov/lccn/sn83030313/1857-07-26/ed-1/seq-4/,
Geographical Discovereis,owu2011,1857-08-08,,Life Illustrated,,4,118-122,New York,yes,owu_cb.00047,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60416886&site=ehost-live,
The Nucleus of the Indian Mutiny,owu0096,1857-08-10,,New York Herald,,,1,New York,yes,owu_cah.00665-6,http://chroniclingamerica.loc.gov/lccn/sn83030313/1857-08-10/ed-1/seq-1/,
"""THE SCIENTIFIC CONVENTION.: Zodiacal Light--The Holyoke Dam--Coast Survey--The Gyroscope--Troy Weight In Coinage and Commerce--Remarkable Fossils--Coal Fields--Mineral Springs--Coast Subsidence--Observations in New-Jersey--Entertainments"" New York Daily Times",,1857-08-13,,,,,2,,yes,whitman_scrapbook_293.tif,https://search-proquest-com.libproxy.unl.edu/docview/95930132/abstract/A6BB66A8F32E4E09PQ/1?accountid=8116,
"""THE SCIENTIFIC CONVENTION AT MONTREAL"" New York Daily Times",owu0005,1857-08-15,n/a,New York Daily Times,,,2,New York,yes,owu_rc.00052.jpg ; whitman_scrapbook_11.tif,https://search-proquest-com.libproxy.unl.edu/docview/95920521?accountid=8116,
The National Revenue,owu0037,1857-08-17,,Brooklyn Daily Eagle,,,2,New York,yes,whitman_scrapbook_91,https://bklyn.newspapers.com/image/50410804/?terms=the+national+revenue,
"""From Chili."" ",owu1004,1857-08-17,,New York Daily Times,,,1,,yes,whitman_scrapbook_290-292.tif,https://search-proquest-com.libproxy.unl.edu/docview/95922517/46D2326A07EA49D0PQ/1?accountid=8116,
"""Our Copenhagen Correspondence.""",owu1019,1857-08-30,,New York Herald,,,,New York,error,owu_rc_00265-8,http://find.galegroup.com.libproxy.unl.edu/ncnp/newspaperRetrieve.do?sgHitCountType=None&sort=DateAscend&tabID=T003&prodId=NCNP&resultListType=RESULT_LIST&searchId=R1&searchType=AdvancedSearchForm&currentPosition=2&qrySerId=Locale%28en%2C%2C%29%3AFQE%3D%28tx%2CNone%2C29%29our+copenhagen+correspondence%3AAnd%3AFQE%3D%28ba%2CNone%2C6%29%225AJW%22%24&retrieveFormat=MULTIPAGE_DOCUMENT&userGroupName=linc74325&inPS=true&contentSet=LTO&&docId=&docLevel=FASCIMILE&workId=&relevancePageBatch=GT3009141237&contentSet=UDVIN&callistoContentSet=UDVIN&docPage=article&hilite=y,
Harper's Weekly,owu1010,1857-09-12,n/a,Harpers Weekly,,,,New York,,whitman_scrapbook_336-43.tif,,"Volume 1, which should contain this issue, is nowhere to be found online. The earliest one available seems to be volume 2.
"
New York Daily Tribune,owu1024,1857-09-16,,New York Daily Tribune,,,2,New York,yes,whitman_scrapbook_460-3.tif,https://chroniclingamerica.loc.gov/lccn/sn83030213/1857-09-16/ed-1/seq-3/,
Gateway of the Great Temple of Juggernauth,owu2016,1857-09-26,,Harper's Weekly,,,,New York,,owu_cb.00072,,
Brooklyn Daily Eagle,owu1009,1857-10-02,n/a,Brooklyn Daily Eage,,,1,New York,yes,whitman_scrapbook_333-35.tif,https://bklyn.newspapers.com/image/50418435/?terms=tropical+africa,
"""Our Stockholm Correspondence""",owu1018,1857-10-11,,New York Herald,,,,New York,error,owu_rc_00261-4,http://find.galegroup.com.libproxy.unl.edu/ncnp/newspaperRetrieve.do?sgHitCountType=None&sort=DateAscend&tabID=T003&prodId=NCNP&resultListType=RESULT_LIST&searchId=R1&searchType=BasicSearchForm&currentPosition=2&qrySerId=Locale%28en%2C%2C%29%3AFQE%3D%28tx%2CNone%2C28%29Our+Stockholm+Correspondence%3AAnd%3ALQE%3D%28da%2CNone%2C11%291841+-+1870%24&retrieveFormat=MULTIPAGE_DOCUMENT&userGroupName=linc74325&inPS=true&contentSet=LTO&&docId=&docLevel=FASCIMILE&workId=&relevancePageBatch=GT3003623189&contentSet=UDVIN&callistoContentSet=UDVIN&docPage=article&hilite=y,
History of the East India Company,owu0091,1857-10-24,,Harper's Weekly,,10,,New York,yes,owu_cah.00653-6,http://app.harpweek.com.libproxy.unl.edu/viewarticletext.asp?webhitsfile=hw18571024000038%2Ehtm&xpath=%2FTEI%2E2%5B1%5D%2Ftext%5B1%5D%2Fbody%5B1%5D%2Fdiv1%5B17%5D&xml=HW%5C1857%5C18571024%2Exml&titleid=HW&volumeid=1857&issueid=1024&pagerange=0680ad-0681ac&restriction=&pageIDs=%7CHW-1857-10-24-0680%7CHW-1857-10-24-0681%7C,
British Empire in India,owu0097,1857-10-25,,New York Herald,,,3,New York,yes,owu_cah.00667-8,http://chroniclingamerica.loc.gov/lccn/sn83030313/1857-10-25/ed-1/seq-3/,
New-York Daily Tribune,,1857-10-26,,New York Daily Tribune,,,4,New York,yes,owu_km.00016.tif and owu_km.00016.tif,https://chroniclingamerica.loc.gov/lccn/sn83030213/1857-10-26/ed-1/seq-4/,"An unsigned editorial from page 4 that begins ""The Turkish question still lives..."""
"""A Tunnel From England to France""",owu0004,1857-12-05,,Life Illustrated,,5,46-49,New York,yes,whitman_scrapbook_348.tif,http://search.ebscohost.com.libproxy.unl.edu/login.aspx?direct=true&db=h9k&AN=60416983&site=ehost-live,
The Gila Expedition,owu3020,1857-12-06,,New York Herald,,,3,New York,yes,owu_km.00158,https://chroniclingamerica.loc.gov/lccn/sn83030313/1857-12-06/ed-1/seq-3/,Found on Fulton History
"""It is likely that during the ",owu0062,1857-12-08,,New York Daily Tribune,,,5,New York,yes,owu_cah.00495-6,https://chroniclingamerica.loc.gov/lccn/sn83030213/1857-06-12/ed-1/seq-5/,
Brooklyn Daily Eagle,owu1008,1857-12-11,n/a,Brooklyn Daily Eagle,,,1,,yes,whitman_scrapbook_328-31.tif,https://bklyn.newspapers.com/image/50423202/,"332-5 look similar, but I couldn't find them on the same archive sites as the previous articles"
Livingstone's Travels and Researches in Southern Africa,owu0086,1857-12-17,,Brooklyn Daily Eagle,,,1,New York,yes,owu_cah.00606-7,https://bklyn.newspapers.com/image/50423361/,
Livingstone's Travels and Researches in Southern Africa,owu0081,1857-12-18,,Brooklyn Daily Eagle,,,1,New York,yes,owu_cah.00576-7,https://bklyn.newspapers.com/image/50423389/,
Italian Travel,owu1013,1857-12-26,,New York Times,,,3,New York,yes,whitman_scrapbook_364-5.tif,https://search-proquest-com.libproxy.unl.edu/hnpnewyorktimes/docview/91405296/E23248C01C2742E7PQ/11?accountid=8116,
The Proposed Territory of Arizona ,owu3018,1857-12-27,,New York Herald,,,4,New York,yes,owu_km.00144,https://chroniclingamerica.loc.gov/lccn/sn83030313/1857-12-27/ed-1/seq-4/,Found on Fulton History
The Nile,owu1027,1857-12-29,,New York Times,,,2,New York,yes,owu_rc_00355,https://search-proquest-com.libproxy.unl.edu/docview/91392435/401DB46D563E4B59PQ/4?accountid=8116,
Overland from St. Petersburg to the Mouth of the Amoor (Also The Japanese Becoming Less Exclusive),owu0110,1857-12-29,,New York Times,,,2,New York,yes,owu_cah.00716-717 (owu_cah.00719-20),https://search-proquest-com.libproxy.unl.edu/docview/91393526/9B4FF5CC9A78412EPQ/1?accountid=8116,
"""Excursion to Pompeii"" Burlington Free Press",owu1014,1858-01-01,Erastus Cornelius Benedict,Burlington Free Press,,,1,"Burlington, VT",yes,whitman_scrapbook_366-8.tif,https://chroniclingamerica.loc.gov/lccn/sn84023127/1858-01-01/ed-1/seq-1/,Copy is not available online
New York Times,owu1021,1858-01-06,,New York Times,,,,New York,,whitman_scrapbook_429-36.tif,,New York Times doesn't have free archived newspapers available online.
"""Foreign Correspondence."" & other columns Brooklyn Daily Eagle",owu1007,1858-01-09,n/a,Brooklyn Daily Eagle,,,1,,yes,whitman_scrapbook_324-7.tif,"https://bklyn.newspapers.com/image/50467866/?terms=Its+immense+magnitude,+the+ant-like+myriads+of+its+population",
Differences of Times,owu0014,1858-01-09,,Life Illustrated,,,,New York,error,owu_cah.00069-72,http://web.a.ebscohost.com.libproxy.unl.edu/ehost/archiveviewer/archive?vid=29&sid=8e2c0a5d-982f-4a47-b908-ed860ebf17d9%40sdc-v-sessmgr04&bdata=JnNpdGU9ZWhvc3QtbGl2ZQ%3d%3d#kw=true&acc=false&lpId=divl53&ppId=divp8&twPV=null&xOff=0&yOff=0&zm=fit&fs=null&rot=0&docMapOpen=true&pageMapOpen=true&AN=60414307&db=h9k,
Interesting Account of the Russian Settlements on the Amoor River,owu3021,1858-01-17,,New York Herald,,,2,New York,yes,owu_km.00160,https://chroniclingamerica.loc.gov/lccn/sn83030313/1858-01-17/ed-1/seq-2/,Found on Fulton History
[Exploration of the Amoor],owu3021,1858-01-17,,New York Herald,,,3,New York,yes,owu_km.00168 and owu_km.00174,https://chroniclingamerica.loc.gov/lccn/sn83030313/1858-01-17/ed-1/seq-3/,Found on Fulton History
Rev. Dr. Livingstone—This Eminent explorer,owu0087,1858-01-27,,Brooklyn Daily Eagle,,,2,New York,yes,owu_cah.00608-9,https://bklyn.newspapers.com/image/50467990/,
The Oyster Beds and Oyster Business of Virginia,owu0045,1858-01-28,,New York Daily Tribune,,,3,New york,yes,whitman_scrapbook_142-143,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-01-28/ed-1/seq-3/#date1=1858&sort=date&rows=20&words=oyster&searchType=basic&sequence=0&index=17&state=New+York&date2=1858&proxtext=oyster&y=0&x=0&dateFilterType=yearRange&page=2,
The Royal Families of Europe,owu1006,1858-02-21,,New York Herald,,,2,New York,yes,whitman_scrapbook_306-309.tif,http://chroniclingamerica.loc.gov/lccn/sn83030313/1858-02-21/ed-1/seq-2/,
The Pacific Railroad—Overland to California,owu3016,1858-04-19,,New York Daily Times ,,,,New York,error,owu_km.00124,https://timesmachine.nytimes.com/timesmachine/1858/04/19/78534043.html?pageNumber=4,Found via a reprinted excerpt on Fulton History
Overland Communication with the Pacific—The False and the True Policy,owu3022,1858-04-24,,New York Herald,,,4,New York,yes,owu_km.00178,https://chroniclingamerica.loc.gov/lccn/sn83030313/1858-04-24/ed-1/seq-4/,
New-York Daily Tribune,owu1015,1858-07-26,,New-York Daily Tribune,,,1,New York,yes,whitman_scrapbook_377-84.tif ,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-07-26/ed-1/seq-1/,
"CHINA.: DELIVERY OF THE PRESIDENT'S LETTER. THREE DAYS WITH THE MANDARINS. Bombardment of the Ta-Koo. Interview of Mr, Reed with the Imperial Commissioner",owu0085,1858-08-20,,New York Times,,,1,New York,yes,owu_cah.00600-1,https://search-proquest-com.libproxy.unl.edu/hnpnewyorktimes/docview/91409073/FA923820CCA64F40PQ/1?accountid=8116,
Geological Lectures—Dr. Boynton,owu3006,1858-09-23,,Brooklyn Daily Eagle,,,3,New York,yes,whitman_scrapbook_697,https://bklyn.newspapers.com/image/50469331,page 3; advertisement for a lecture
Summary received by the last English mail,owu0106,1858-09-27,,New-York Daily Tribune,,,4,New York,yes,owu_cah.00694-695,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-09-27/ed-1/seq-4/,
Dr. Boynton's Second Lecture,owu0008,1858-10-01,,Brooklyn Daily Eagle,,,2,New York,yes,whitman_scrapbook_11-12,https://bklyn.newspapers.com/image/50469358,
The Donati Comet.,owu0011,1858-10-10,,New York Herald,,,1,New York,yes,whitman_scrapbook_14-17,https://chroniclingamerica.loc.gov/lccn/sn83030313/1858-10-10/ed-1/seq-1/,Found through fultonhistory.com
The Brooklyn Daily Eagle,owu1016,1858-10-12,,The Brooklyn Daily Eagle,,,1,New York,yes,whitman_scrapbook_405-10.tif,https://bklyn.newspapers.com/image/50469393/?terms=The+fetes+celebrated+in+this+old+city+in+honor+of,
Dr. Boynton's Sixth Lecture,owu0009,1858-10-13,,Brooklyn Daily Eagle,,,2,New York,yes,whitman_scrapbook_12,https://bklyn.newspapers.com/image/50469398,
The Great Comet: Lecture by Rev. H Mattison,owu0010,1858-10-14,,The New York Herald,,,1,New York,yes,,https://chroniclingamerica.loc.gov/lccn/sn83030313/1858-10-14/ed-1/seq-1/,found through fultonhistory.com
Comets: Their Histories and Habits,owu0012,1858-10-15,,New York Daily Tribune,,,7,New York,yes,whitman_scrapbook_18-21,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-10-15/ed-1/seq-7/,Found through fultonhistory.com
New-York Daily Tribune,,1858-11-02,,,,,1,New York,yes,whitman_scrapbook_428-8.tif,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-11-02/ed-1/seq-1/,
"""Bayard Tayor in Northern Europe: No. LXX Railroads in Russia""",owu1020,1858-11-02,Bayard Taylor,New York Daily Tribune,,,6,New York,yes,owu,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-11-02/ed-1/seq-6/,
Our Vienna Correspondence,owu0079,1858-11-07,,New York Herald,,,2,New york,yes,owu_cah.0072-73,https://chroniclingamerica.loc.gov/lccn/sn83030313/1858-11-07/ed-1/seq-2/,
BURMAH. The New Capital...,owu2015,1858-11-08,,New York Times,,,,,,owu_cb.00067,,
The Indians in Oregon and Washington,owu3009,1858-11-19,,New York Daily Tribune,,,6,New York,yes,owu_km.00108; owu_km.00088 (continuation of column from owu_km.00108),https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-11-19/ed-1/seq-6/,Found on Fulton History
"""The Brazilian Empire."" The Sailor's Magazine, vol 31-32",owu1005,1858-11-28,,New York Herald,,,4,New York,yes,whitman_scrapbook_300-303.tif,http://chroniclingamerica.loc.gov/lccn/sn83030313/1858-11-28/ed-1/seq-4/,"This article seems to have been plagiarized multiple times, so this may not have been the source in which Whitman found it"
Life in the Pacific Territories,owu3017,1858-12-04,,New York Daily Tribune,,,6,New York,yes,owu_km.00131,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-12-04/ed-1/seq-6/,"Found on Fulton History. Seemingly a continuation (or at least related to) the article from the Tribune of Nov. 19 (""The Indians in Oregon and Washington""), which this article references at the beginning. So Whitman was seemingly ""following"" this whole series of pieces..."
The Fisheries of Puget Sound and the Vicinity,owu3023,1858-12-27,,New-York Daily Tribune,,,6,New York,yes,owu_km.00182,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-12-27/ed-1/seq-6/,
A Long Look Backward,owu3014,1858-12-31,,New York Daily Tribune,,,3,New York ,yes,owu_km.00110,https://chroniclingamerica.loc.gov/lccn/sn83030213/1858-12-31/ed-1/seq-3/,Found on Fulton History
"The Eclectic Magazine of Foreigh Literature, Science, and Art, Volume 47 (This is not the original source and only provides text for the first paragraph)",,1859,,"Leavitt, Trow, & Company",,47,143,,yes,whitman_scrapbook_074.tif,https://books.google.com/books?id=bRZLAQAAMAAJ&pg=PA143&dq=Statistics+of+population+and+religion+the+director+of+the+statistical+bureau+of+berlin+furnishes&hl=en&sa=X&ved=0ahUKEwjmx8ev9vPYAhUKLqwKHfK9DCcQ6AEIJzAA#v=onepage&q=Statistics%20of%20population%20and%20religion%20the%20director%20of%20the%20statistical%20bureau%20of%20berlin%20furnishes&f=false,
Utah and the Great Basin,owu3010,1859-01-29,H. F. Hamlin,New York Daily Tribune,,,,,yes,owu_km.00089,https://chroniclingamerica.loc.gov/lccn/sn83030213/1859-01-29/ed-1/seq-6/,Found on Fulton History
"""The Rosettat Stone--Letter from Humbodt"" (sic), New York Times",owu0027,1859-07-13,n/a,New York Times,,,2,New York,yes,whitman_scrapbook_036.tif,https://search-proquest-com.libproxy.unl.edu/docview/91480540/76397A03F4F440C1PQ/1?accountid=8116,
 Lecture of W. S. Studley.,owu0028,1860-02-17,,Brooklyn Daily Eagle,,,2,New York,yes,whitman_scrapbook_037.tif,http://nyshistoricnewspapers.org/lccn/sn83031151/1860-02-17/ed-1/seq-2/#date1=01%2F01%2F1725&index=0&date2=12%2F31%2F1861&searchType=advanced&SearchType=prox5&sequence=0&words=Lecture+lecture+S+Studley+W&proxdistance=5&to_year=1861&rows=20&ortext=&from_year=1725&proxtext=Lecture+of+W.+S.+Studley&phrasetext=&andtext=&dateFilterType=range&page=1,
Pre-Adamite Man,owu3015,1860-10-24,,Brooklyn Daily Eagle,,,1,New York ,yes,owu_km.00117,https://bklyn.newspapers.com/image/50416847/,
"""Scenes on the Ocean Floor"" The Sailor's Magazine, volumes 29-30 (Not the original source)",owu0022,1867-05,n/a,,,"29, 30",270,,yes,owu_cah.00086.jpg,https://books.google.com/books?id=qeMkAAAAYAAJ&pg=PA270&dq=scenes+on+the+ocean+floor&hl=en&sa=X&ved=0ahUKEwi37vez5c3YAhUDzGMKHZq1BmYQ6AEIJzAA#v=onepage&q=scenes%20on%20the%20ocean%20floor&f=false,
Life Illustrated,,"December 5, 1856",,,,,,,,owu_cb.00029.tif and following,can't find online source,
Universal History in Perspective,,not sure (multiple editions),"Willard, Emma",,A.S. Barnes and Company,,1,,yes,owu_rc.00081-82,https://books.google.com/books?id=HVwAAAAAYAAJ&printsec=frontcover&dq=editions:6j7edqj8qeQC&hl=en&sa=X&ved=0ahUKEwio9aqr7s3YAhUYHGMKHYAWBGIQuwUIPTAE#v=onepage&q=picture%20of%20nations&f=false,Image is not included in the Google book
"""The Eve of the Conquest"", The Eclectic Magazine of Foreign Literature, Science, and Art, volumes 16-17",,1849,n/a,,,,,,yes,owu_rc.00052.jpg,https://books.google.com/books?id=pp93MKd9Q1wC&dq=A%20volume%20of%20Milton%20will%20most%20probably%20open&pg=PA190#v=onepage&q=A%20volume%20of%20Milton%20will%20most%20probably%20open&f=false,
,,,,Life Illustrated,,,,,,whitman_scrapbook_30-32.tif,,I can't find an online text for these pages but they appeared in Life Illustrated based on the pages themselves
"Dictionary of Dates, and Universal Reference (This is not the original source)",,,"Haydn, Joseph Timothy",,,"16, 17",,,yes,whitman_scrapbook_32.tif (Ship Building & Tin articles),"https://books.google.com/books?id=eo3bC8OL_CIC&pg=PA468&dq=the+art+is+attributed+to+the+Egyptians,+as+the+first+inventors,+the+first+ship&hl=en&sa=X&ved=0ahUKEwj-gtGwsvHYAhUBXK0KHWBhAckQ6AEIXzAK#v=onepage&q=Discovered%20in%20Barbary%201640&f=false",This is not the original source for these materials but the text is available here
Our Country (Not the original source),,,,,,,,,not shown,whitman_scrapbook_90.tif,http://find.galegroup.com.libproxy.unl.edu/ncnp/newspaperRetrieve.do?sgHitCountType=None&sort=DateAscend&tabID=T003&prodId=NCNP&resultListType=RESULT_LIST&searchId=R3&searchType=BasicSearchForm&currentPosition=3&qrySerId=Locale%28en%2C%2C%29%3AFQE%3D%28tx%2CNone%2C34%29the+greatest+cataract+in+the+world%24&retrieveFormat=MULTIPAGE_DOCUMENT&userGroupName=linc74325&inPS=true&contentSet=LTO&&docId=&docLevel=FASCIMILE&workId=&relevancePageBatch=GT3005389438&contentSet=UDVIN&callistoContentSet=UDVIN&docPage=article&hilite=y,
,,,,,,,,,,whitman_scrapbook_359.tif,,Same as above (original not found)
New-York Daily Tribune,,,,,,,,,,whitman_scrapbook_414-22.tif,,"These look identical in format to other columns from the New-York Daily Tribune, but there is no visible date, and the Chronicling America website does not have searchable text for this paper."
,,,,,,,,,,,,
"""The Different African Races."" (this is not the original source)",owu1023,,,,,16,,"Philadelphia, PA",,whitman_scrapbook_459.tif,https://books.google.com/books?id=_Ic7AQAAMAAJ&pg=PA127&dq=Dr.+B.+considers+them+an+indigenous+race&hl=en&sa=X&ved=0ahUKEwiE8s6EwOTYAhUE4WMKHcJwAsUQ6AEIJzAA#v=onepage&q=Dr.%20B.%20considers%20them%20an%20indigenous%20race&f=false,Could not find original source. This book contains a somewhat modified version of the article.
"Brooklyn Museum Flyer, ""Italia: Waugh's Great Paintings""",owu1012,,,,,,,,,"whitman_scrapbook_361, 372-373",,
LECTURE ON INDIA.,owu1025,,,,,,,,,owu_rc_00349,,
The French in Algeria.,owu1026,,,,,,,,,owu_rc_00352,,
According to the Statistical tables of Dr. Petermann,owu1028,,,,,,,,,owu_rc_00169,,
Russia is to have her system of Railroads,owu1029,,,,,,,,,owu_rc_00256,,
